text,source,context_text,hate_speech,sexist,threat,bullying,toxic,hate_speech_mask,sexist_mask,threat_mask,bullying_mask,toxic_mask
ওই হালার পুত এখন কি মদ খাওয়ার সময় রাতের বেলা মদ খাই দিনের বেলাও মাঝেমধ্যে খায় এখন ম*** চ**** সময় safa কে একটু চুদাম যার ইচ্ছা আছে চুদার লাইনে দারা একজন একজন করে জাবি,cyberbullying,,-1,1,0,1,1,0,1,1,1,1
আপনার জন্ম প্রক্রিয়ার সময় আপনার মায়ের ভিতর কি আপনার বাবা হুমায়ুন কবিরের শুক্রাণু ঢুকে ছিল না অন্য কারো । তাইলে আপনি কেম্নে শিউর হইলেন উনিই আপনার বাবা। কারণ ওই কাজের সময়ে তো আপনি দেখেননি।আপনাকে জারজ বা জাউরা বললে কি ভুল হবে? পাক্নামি ছাইড়া দিয়া অভিনয়টা ভাল করে করেন।আমাগো আমজনতারে এইসব শুনাইয়েন না।,cyberbullying,,-1,1,0,1,1,0,1,1,1,1
ধজভংগ দের আর ভায়াগ্রা লাগবো না। ধংস হোক এই সব কুলখানকিরা।,cyberbullying,,-1,1,0,1,1,0,1,1,1,1
বোকাচোদা একটা।,cyberbullying,,-1,1,0,1,1,0,1,1,1,1
তোর দেশে ফেরার অপেক্ষায় রইলাম। জেলে একটা কামরা বুক করে রাখা থাকল।,cyberbullying,,-1,1,0,1,1,0,1,1,1,1
বাংলাদেশ ফেসবুক ইজ বিনোদন,cyberbullying,,-1,1,0,1,1,0,1,1,1,1
ক্ষমা করার মালিক উপরওয়ালা। উনি ক্ষমা করে দিলে সাধারণ মানুষের কিইবা করার আছে??? ৯০ ভাগ মুসলমানের দেশে স্পর্শকাতর বিষয় নিয়ে কথা না বলাই সঙ্গত বিশেষ করে সেলিব্রেটিদের। এটা পাশ্চাত্যের কোন দেশ নয়।,cyberbullying,,-1,1,0,1,1,0,1,1,1,1
আপনি ক্ষমা চেয়েছেন। এটাই বড় কথা।ক্ষমা করার মালিক আল্লাহ।আমি একজন মুসলমান হিসেবে ক্ষমা করে দিচ্ছি আপনাকে।আমি মনে করি সকলেরই উচিত উনাকে ক্ষমা করে দেয়া।,cyberbullying,,-1,1,0,1,1,0,1,1,1,1
নিজের রিভিউ বারানোর জন্যই জতো সব নাটক? ফালতু......,cyberbullying,,-1,1,0,1,1,0,1,1,1,1
"আপনাদের সকলের কাছে একটা বিষয়ে অনুরোধ-দয়াকরে এই মহিলা কিংবা ওনাদের মত ধর্ম ফ্যাসাদকারীদের নিয়া আর কোন নতুন নিউজ তৈরি করবেন না,,,কেননা এরা টেররিস্টদের হইতে অধিক ভয়ানক,,,, যে কোন শান্তিপূর্ণ স্থানের বুকে এরাই অশান্তি সৃষ্টিকারী।",cyberbullying,,-1,1,0,1,1,0,1,1,1,1
