text,source,context_text,hate_speech,sexist,threat,bullying,toxic,hate_speech_mask,sexist_mask,threat_mask,bullying_mask,toxic_mask
রাস্তার মধ্যে নারী কর্তৃক পুরুষ হেনস্থা এবং শারীরিক নির্যাতন হয়েছে সেটার তো কোন পদক্ষেপ নিতে দেখছি না। ওই মেয়েটি বৃদ্ধ লোকটির গায়ে হাত তুলেছিল দাড়ি ধরে টেনেছে এবং টুপি খুলে নিয়ে ছিল ।যে আইন সমান বিচার করতে পারে না সে আইনকে ধিক্কার জানাই। নারী পুরুষ অপরাধ যেই করুক তাকেই আইনের আওতায় আনতে হবে।,banglatoco,"রাজধানীর ফুটপাতে নারীকে হেনস্তা, সেই যুবককে ধরে আনল পুলিশ রাজধানীর মিরপুর ১০ নম্বরে ফুটপাতে বসা ভাসমান বিক্রেতার কাছ থেকে জুতা কিনতে গিয়ে এক নারী হেনস্তার শিকার হয়েছেন, এমন একটি ভিডিও সামাজিক যোগাযোগমাধ্যমে ছড়িয়ে পড়েছে। ১ মিনিট ১৬ সেকেন্ডের ওই ভিডিওতে দেখা গেছে, ওই নারীকে চড়-থাপ্পড় দিচ্ছেন একজন। তাঁর হাত ধরে টানাটানিও করা হচ্ছিল। কয়েকজন ওই নারীকে চোর, চোর বলছিলেন।পুলিশ জানায়, মূলত জুতা কেনা নিয়ে ভাসমান বিক্রেতার সঙ্গে ওই নারীর ঝগড়া হয়। একপর্যায়ে এ ঘটনা ঘটে। তাওহিদী পায়ুসোইনিক দেখতে পাচ্ছি😆😆;মিথ্যাচার করার জায়গা পান না? মেয়েটি বলেছে গালাগালি যখন করতেছেন, তাহলে দাড়িটুপি পরে করতে দিবো না, এইগুলোর সম্মান নষ্ট কররেছেন, যেখানেও ঐ মুরব্বি অন্যায় করেছে, কে কি পোশাক পরবে সেটা তার বিষয়, কিন্তু মেয়েটিকে উনি হ্যারেজ করেছেন, যা রাষ্ট্রীয় ভাবে অন্যায় ও আইনে অপরাধ, কারণ রাষ্ট্র কর্তৃক নিষিদ্ধ জামা গায়ে দিয়ে কি সে চলাফেরা করতেছিলো? নাকি দেশ জংগি, আফগানি, তালেবানি, পাকিস্তানি হয়ে গেছে? আগে ক্ষমতায় যান, আইন করেন, তার পরে ইতরামি করতে আইয়েন, ভালো হয়ে যান।",-1,-1,-1,-1,0,0,0,0,0,1
"মিরপুর থাকার সুবাদে এই দোকানে কয়েকবার আমার যাওয়া হইছে, এই লোকটা আসলে বদমেজাজি, যতদূর বুঝতে পারি, উনার আচরণ আমারও খারাপ লাগছে একবার, তাই যতদূর পারি এই দোকান এভয়েড করি, যেহেতু ব্যাবসা করেন উনার একটু সহনশীল হওয়া উচিত, লোকজন দেখবে দরাদরি করবে এটাই স্বাভাবিক, পছন্দ হলে নিবে, না হলে নাই, কিন্তু উনি রেগে যান অল্পতে",banglatoco,"রাজধানীর ফুটপাতে নারীকে হেনস্তা, সেই যুবককে ধরে আনল পুলিশ রাজধানীর মিরপুর ১০ নম্বরে ফুটপাতে বসা ভাসমান বিক্রেতার কাছ থেকে জুতা কিনতে গিয়ে এক নারী হেনস্তার শিকার হয়েছেন, এমন একটি ভিডিও সামাজিক যোগাযোগমাধ্যমে ছড়িয়ে পড়েছে। ১ মিনিট ১৬ সেকেন্ডের ওই ভিডিওতে দেখা গেছে, ওই নারীকে চড়-থাপ্পড় দিচ্ছেন একজন। তাঁর হাত ধরে টানাটানিও করা হচ্ছিল। কয়েকজন ওই নারীকে চোর, চোর বলছিলেন।পুলিশ জানায়, মূলত জুতা কেনা নিয়ে ভাসমান বিক্রেতার সঙ্গে ওই নারীর ঝগড়া হয়। একপর্যায়ে এ ঘটনা ঘটে। দেখতে তো মাসুম মাসুম মনে হয়",-1,-1,-1,-1,0,0,0,0,0,1
"চরিত্র খারাপ মনে হয় না, তবে বদমেজাজি মনে হয়, রাগ কন্ট্রোল করতে পারে না",banglatoco,"রাজধানীর ফুটপাতে নারীকে হেনস্তা, সেই যুবককে ধরে আনল পুলিশ রাজধানীর মিরপুর ১০ নম্বরে ফুটপাতে বসা ভাসমান বিক্রেতার কাছ থেকে জুতা কিনতে গিয়ে এক নারী হেনস্তার শিকার হয়েছেন, এমন একটি ভিডিও সামাজিক যোগাযোগমাধ্যমে ছড়িয়ে পড়েছে। ১ মিনিট ১৬ সেকেন্ডের ওই ভিডিওতে দেখা গেছে, ওই নারীকে চড়-থাপ্পড় দিচ্ছেন একজন। তাঁর হাত ধরে টানাটানিও করা হচ্ছিল। কয়েকজন ওই নারীকে চোর, চোর বলছিলেন।পুলিশ জানায়, মূলত জুতা কেনা নিয়ে ভাসমান বিক্রেতার সঙ্গে ওই নারীর ঝগড়া হয়। একপর্যায়ে এ ঘটনা ঘটে।",-1,-1,-1,-1,0,0,0,0,0,1
বাদী এবং বিবাদীকে নিয়ে দ্রুত বিষয়টি সমাধানের জন্য পুলিশকে ধন্যবাদ,banglatoco,"রাজধানীর ফুটপাতে নারীকে হেনস্তা, সেই যুবককে ধরে আনল পুলিশ রাজধানীর মিরপুর ১০ নম্বরে ফুটপাতে বসা ভাসমান বিক্রেতার কাছ থেকে জুতা কিনতে গিয়ে এক নারী হেনস্তার শিকার হয়েছেন, এমন একটি ভিডিও সামাজিক যোগাযোগমাধ্যমে ছড়িয়ে পড়েছে। ১ মিনিট ১৬ সেকেন্ডের ওই ভিডিওতে দেখা গেছে, ওই নারীকে চড়-থাপ্পড় দিচ্ছেন একজন। তাঁর হাত ধরে টানাটানিও করা হচ্ছিল। কয়েকজন ওই নারীকে চোর, চোর বলছিলেন।পুলিশ জানায়, মূলত জুতা কেনা নিয়ে ভাসমান বিক্রেতার সঙ্গে ওই নারীর ঝগড়া হয়। একপর্যায়ে এ ঘটনা ঘটে।",-1,-1,-1,-1,0,0,0,0,0,1
"একদম ঠিক আছে,১০নাম্বারে বিশেষ করে হোপ মার্কেটের দোকানদের ব্যবহার খুবই খারাপ।",banglatoco,"রাজধানীর ফুটপাতে নারীকে হেনস্তা, সেই যুবককে ধরে আনল পুলিশ রাজধানীর মিরপুর ১০ নম্বরে ফুটপাতে বসা ভাসমান বিক্রেতার কাছ থেকে জুতা কিনতে গিয়ে এক নারী হেনস্তার শিকার হয়েছেন, এমন একটি ভিডিও সামাজিক যোগাযোগমাধ্যমে ছড়িয়ে পড়েছে। ১ মিনিট ১৬ সেকেন্ডের ওই ভিডিওতে দেখা গেছে, ওই নারীকে চড়-থাপ্পড় দিচ্ছেন একজন। তাঁর হাত ধরে টানাটানিও করা হচ্ছিল। কয়েকজন ওই নারীকে চোর, চোর বলছিলেন।পুলিশ জানায়, মূলত জুতা কেনা নিয়ে ভাসমান বিক্রেতার সঙ্গে ওই নারীর ঝগড়া হয়। একপর্যায়ে এ ঘটনা ঘটে।",-1,-1,-1,-1,0,0,0,0,0,1
লোকটার বিচার হোক।,banglatoco,"রাজধানীর ফুটপাতে নারীকে হেনস্তা, সেই যুবককে ধরে আনল পুলিশ রাজধানীর মিরপুর ১০ নম্বরে ফুটপাতে বসা ভাসমান বিক্রেতার কাছ থেকে জুতা কিনতে গিয়ে এক নারী হেনস্তার শিকার হয়েছেন, এমন একটি ভিডিও সামাজিক যোগাযোগমাধ্যমে ছড়িয়ে পড়েছে। ১ মিনিট ১৬ সেকেন্ডের ওই ভিডিওতে দেখা গেছে, ওই নারীকে চড়-থাপ্পড় দিচ্ছেন একজন। তাঁর হাত ধরে টানাটানিও করা হচ্ছিল। কয়েকজন ওই নারীকে চোর, চোর বলছিলেন।পুলিশ জানায়, মূলত জুতা কেনা নিয়ে ভাসমান বিক্রেতার সঙ্গে ওই নারীর ঝগড়া হয়। একপর্যায়ে এ ঘটনা ঘটে। দেশটাই এখন ময়লার স্তুপ , কতো ময়লা পরিস্কার করবে?",-1,-1,-1,-1,0,0,0,0,0,1
"দেশটাই এখন ময়লার স্তুপ , কতো ময়লা পরিস্কার করবে?",banglatoco,"রাজধানীর ফুটপাতে নারীকে হেনস্তা, সেই যুবককে ধরে আনল পুলিশ রাজধানীর মিরপুর ১০ নম্বরে ফুটপাতে বসা ভাসমান বিক্রেতার কাছ থেকে জুতা কিনতে গিয়ে এক নারী হেনস্তার শিকার হয়েছেন, এমন একটি ভিডিও সামাজিক যোগাযোগমাধ্যমে ছড়িয়ে পড়েছে। ১ মিনিট ১৬ সেকেন্ডের ওই ভিডিওতে দেখা গেছে, ওই নারীকে চড়-থাপ্পড় দিচ্ছেন একজন। তাঁর হাত ধরে টানাটানিও করা হচ্ছিল। কয়েকজন ওই নারীকে চোর, চোর বলছিলেন।পুলিশ জানায়, মূলত জুতা কেনা নিয়ে ভাসমান বিক্রেতার সঙ্গে ওই নারীর ঝগড়া হয়। একপর্যায়ে এ ঘটনা ঘটে। লোকটার বিচার হোক।",-1,-1,-1,-1,0,0,0,0,0,1
উপযুক্ত বিচার করা হোক ✅,banglatoco,"রাজধানীর ফুটপাতে নারীকে হেনস্তা, সেই যুবককে ধরে আনল পুলিশ রাজধানীর মিরপুর ১০ নম্বরে ফুটপাতে বসা ভাসমান বিক্রেতার কাছ থেকে জুতা কিনতে গিয়ে এক নারী হেনস্তার শিকার হয়েছেন, এমন একটি ভিডিও সামাজিক যোগাযোগমাধ্যমে ছড়িয়ে পড়েছে। ১ মিনিট ১৬ সেকেন্ডের ওই ভিডিওতে দেখা গেছে, ওই নারীকে চড়-থাপ্পড় দিচ্ছেন একজন। তাঁর হাত ধরে টানাটানিও করা হচ্ছিল। কয়েকজন ওই নারীকে চোর, চোর বলছিলেন।পুলিশ জানায়, মূলত জুতা কেনা নিয়ে ভাসমান বিক্রেতার সঙ্গে ওই নারীর ঝগড়া হয়। একপর্যায়ে এ ঘটনা ঘটে। ভাই ঐ মেয়ে যে ছেলেটার গায়ে হাত দিলো ও জুতা দিয়ে মারতে গেলো ঐ মেয়েরও বিচার চাই কারণ নারী পুরুষ কারো ই মব করা উচিত না যেই মব করবে তাদের সমান শাস্তি হওয়া উচিত।",-1,-1,-1,-1,0,0,0,0,0,1
উচিত শিক্ষা দেয়া হোক। অধিকাংশ হকারের ব্যবহারই মারাত্বক খারাপ।,banglatoco,"রাজধানীর ফুটপাতে নারীকে হেনস্তা, সেই যুবককে ধরে আনল পুলিশ রাজধানীর মিরপুর ১০ নম্বরে ফুটপাতে বসা ভাসমান বিক্রেতার কাছ থেকে জুতা কিনতে গিয়ে এক নারী হেনস্তার শিকার হয়েছেন, এমন একটি ভিডিও সামাজিক যোগাযোগমাধ্যমে ছড়িয়ে পড়েছে। ১ মিনিট ১৬ সেকেন্ডের ওই ভিডিওতে দেখা গেছে, ওই নারীকে চড়-থাপ্পড় দিচ্ছেন একজন। তাঁর হাত ধরে টানাটানিও করা হচ্ছিল। কয়েকজন ওই নারীকে চোর, চোর বলছিলেন।পুলিশ জানায়, মূলত জুতা কেনা নিয়ে ভাসমান বিক্রেতার সঙ্গে ওই নারীর ঝগড়া হয়। একপর্যায়ে এ ঘটনা ঘটে। বোন ঐ মেয়ে যে ছেলেটার গায়ে হাত দিলো ও জুতা দিয়ে মারতে গেলো ঐ মেয়েরও বিচার চাই কারণ নারী পুরুষ কারো ই মব করা উচিত না যেই মব করবে তাদের সমান শাস্তি হওয়া উচিত।;আপনি আপনার স্বামীর পক্ষে বলবেন এটা স্বাভাবিক। তবে হেনস্তা করার বিরুদ্ধে সকলকে সোচ্চার হতে হবে",-1,-1,-1,-1,0,0,0,0,0,1
দেশে আইনের শাসন প্রতিষ্ঠিত হোক,banglatoco,"রাজধানীর ফুটপাতে নারীকে হেনস্তা, সেই যুবককে ধরে আনল পুলিশ রাজধানীর মিরপুর ১০ নম্বরে ফুটপাতে বসা ভাসমান বিক্রেতার কাছ থেকে জুতা কিনতে গিয়ে এক নারী হেনস্তার শিকার হয়েছেন, এমন একটি ভিডিও সামাজিক যোগাযোগমাধ্যমে ছড়িয়ে পড়েছে। ১ মিনিট ১৬ সেকেন্ডের ওই ভিডিওতে দেখা গেছে, ওই নারীকে চড়-থাপ্পড় দিচ্ছেন একজন। তাঁর হাত ধরে টানাটানিও করা হচ্ছিল। কয়েকজন ওই নারীকে চোর, চোর বলছিলেন।পুলিশ জানায়, মূলত জুতা কেনা নিয়ে ভাসমান বিক্রেতার সঙ্গে ওই নারীর ঝগড়া হয়। একপর্যায়ে এ ঘটনা ঘটে।",-1,-1,-1,-1,0,0,0,0,0,1
